ID,FirstName,LastName,PhoneNumber,Email,Gender,MaritalStatus,Street,City,State,PostalCode,ProductCode,Price,Discount,SKU,TransactionAmount,TransactionDate
1,Danielle,Johnson,8746317213,danielle.johnson@gmail.com,M,Divorced,32181 Johnson Course Apt. 389,New Jamesside,Nebraska,29394,PRD-5506,1228.23,0.2,SKU23434,67508.3,2024-05-09
2,Bridget,Pacheco,9831882064,bridget.pacheco@gmail.com,Unknown,Single,65423 Garcia Light,West Melanieview,Arizona,96148,PRD-1488,473.01,0.2,SKU76237,60002.88,2024-05-17
3,Amanda,Dudley,8410529190,amanda.dudley@yahoo.com,Unknown,single,84959 Janet Cape Apt. 413,South Joshuastad,Hawaii,49021,PRD-8359,2948.38,0.1,SKU30926,69663.01,2024-02-26
4,Jason,Adams,7461364854,jason.adams@outlook.com,male,single,283 Steven Groves,Lake Mark,Wyoming,7832,PRD-6514,515.54,0,SKU22676,35577.43,2023-11-20
5,Lydia,Trujillo,7477278577,lydia.trujillo@outlook.com,M,Divorced,1395 Diana Locks Suite 242,Lake Anna,Kentucky,98413,PRD-8527,2683.46,0,SKU20328,54980.08,2024-08-23
6,Ross,Silva,9562265906,ross.silva@outlook.com,F,Divorced,28710 Eric Estate Suite 916,Carlsonmouth,North Dakota,33454,PRD-2139,233.89,0.2,SKU47930,98514.76,2024-07-29
7,Michelle,Smith,9673561638,michelle.smith@yahoo.com,Male,Married,845 Kelly Estate,Smithview,North Carolina,23917,PRD-5554,2269.78,0.3,SKU31319,36703.19,2024-06-24
8,Rita,Harrell,6899825838,rita.harrell@outlook.com,Male,M,893 Nathaniel Estates Apt. 957,North Sarahport,Kansas,8093,PRD-3803,2673.03,0.2,SKU31417,45957.15,2023-11-30
9,Natalie,Arroyo,7159417075,natalie.arroyo@yahoo.com,female,Unknown,718 David Mountains,West Allison,Rhode Island,55962,PRD-1916,1149.1,0.1,SKU51347,39817.06,2023-11-07
10,Sarah,Campos,6284277889,sarah.campos@yahoo.com,female,single,465 Lam Mission,East Jeffreymouth,Alaska,77611,PRD-9179,1981.18,0,SKU28726,26120.46,2024-07-30
11,Jerry,Robinson,7059257080,jerry.robinson@outlook.com,Unknown,M,031 Michele Cliffs,West Elizabeth,Indiana,71179,PRD-7543,1813.17,0.2,SKU76784,49098.34,2023-09-06
12,Jennifer,Khan,9246059658,jennifer.khan@gmail.com,Male,single,76311 Gomez Loop Suite 010,Chandlerville,Kansas,25613,PRD-3621,3961.44,0,SKU88172,5884.53,2023-10-21
13,Amanda,Taylor,7639042338,amanda.taylor@example.com,Female,M,7317 Brent Plains,North Sarabury,Hawaii,53770,PRD-1188,3403.02,0.1,SKU99353,88421.24,2024-06-07
14,Timothy,Hancock,9224995600,timothy.hancock@outlook.com,female,Single,60647 Henderson Street,Mooreport,Indiana,8166,PRD-5808,2176.65,0,SKU10425,95358.5,2024-08-18
15,Jill,Brown,9761759725,jill.brown@outlook.com,male,M,09788 Brian Pass Apt. 219,Lake Michellefurt,Delaware,75169,PRD-2743,4353.24,0.3,SKU93748,50520.12,2023-12-04
16,Beth,Williams,6854316681,beth.williams@yahoo.com,female,Unknown,9985 Harris Stravenue,Johnfurt,Florida,88540,PRD-3646,2699.2,0.1,SKU88504,32077.68,2024-10-09
